Page Name,Disclaimer,Amount Spent,Number of Ads in Archive
Concealed Online,Concealed Online,121222,1054
Stacey Abrams,Stacey Abrams for Governor,120795,352
Care2,Care2,109815,450
Donald J. Trump,the Trump Make America Great Again Committee,83497,4281
4ocean,"4Ocean, LLC",83427,36
Financial Security Today,Financial Security Today,81451,49
ExxonMobil,ExxonMobil,78373,81
Judicial Watch,Judicial Watch,69402,50
Mike Espy,Mike Espy for Senate Committee,68666,18
AT&T,These ads ran without a disclaimer,62112,73
The Humane Society of the United States,The Humane Society of the United States,58790,45
Sandy Hook Promise,Sandy Hook Promise,58599,97
Likewise Media,Likewise Media,56636,9
Finance Watchdogs,Finance Watch Dogs,55941,140
Solar Energy Today,SOLAR ENERGY TODAY,51251,180
Heifer International,Heifer International,50325,567
Erase The Hate,"NBCUniversal Media, LLC",48464,67
Senior Healthcare Direct,MedicareBob,47798,3
PragerU,PragerU,46861,202
Tom Steyer,Need to Impeach,45028,236
Planned Parenthood,Planned Parenthood Federation of America,41232,133
IUOE Local 150,IUOE Local 150,41158,5
Sierra Club,Sierra Club,39407,228
International Rescue Committee,International Rescue Committee,38029,515
Mic,Mic,35781,50
Feeding America,Feeding America,35100,66
Advisement For Financial Security,Advisement for Financial Security,33805,45
Elizabeth Warren,Elizabeth for MA,32890,240
"I Love You, America",Hulu,32465,6
NowThis,NowThis,32432,41
Freedom Finance Group,Freedom Finance Group,30971,26
The Front Runner,Sony Pictures,29936,34
National Association of Manufacturers,National Association of Manufacturers,29362,28
Planned Parenthood Action,Planned Parenthood Action Fund.,27715,93
The Leadership Conference on Civil and Human Rights,The Leadership Conference on Civil and Human Rights,26953,9
Penzeys Spices,Penzeys,26161,71
Dissent Pins,Dissent Pins,25049,65
"I'll go ahead and keep my guns, Thanks",2A4LIFELLC,24770,39
The Nature Conservancy,The Nature Conservancy,24486,86
Granite State Progress Education Fund,Granite State Progress Education Fund,24152,40
No Kid Hungry,No Kid Hungry,23140,147
CRTV,CRTV,23010,484
EZ Insure,"Benepath, Inc.",22910,21
Center for Biological Diversity,Center for Biological Diversity,22476,57
SodaStream USA,These ads ran without a disclaimer,22384,4
Amnesty International USA,Amnesty International USA,21606,198
Veterans United Home Loans,These ads ran without a disclaimer,21344,11
